Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Программист 1C (стажер),"Демидыч, Компания",от 45 000 ₽ на руки,https://perm.hh.ru/vacancy/96267619?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист станков с ЧПУ,ООО Первый Пермский Машиностроительный Завод,от 50 000 ₽ на руки,https://perm.hh.ru/vacancy/99586721?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО РОСТ ИНТЕК,от 140 000 ₽ на руки,https://perm.hh.ru/vacancy/98762527?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-схемотехник (разработчик),ОАО Пермский телефонный завод Телта,от 55 000 ₽ на руки,https://perm.hh.ru/vacancy/93905628?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик (трассировщик),НПП ТИК,от 60 000 ₽ на руки,https://perm.hh.ru/vacancy/95172425?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP программист/разработчик (middle/senior backend developer),amoCRM,150 000 – 200 000 ₽ на руки,https://perm.hh.ru/vacancy/97944992?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик (DevOPS),НПП ТИК,от 100 000 ₽ на руки,https://perm.hh.ru/vacancy/95165206?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик (DevOPS),НПП ТИК,от 100 000 ₽ на руки,https://perm.hh.ru/vacancy/95165161?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист станков с ЧПУ,ООО Меридиан,от 108 000 ₽ на руки,https://perm.hh.ru/vacancy/96678623?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ГАВ Пермь,100 000 – 120 000 ₽ на руки,https://perm.hh.ru/vacancy/99153088?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C Разработчик,ООО Индекс успеха,150 000 – 250 000 ₽ на руки,https://perm.hh.ru/vacancy/98534920?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший разработчик,ООО Бизнес Технологии,от 60 000 ₽ на руки,https://perm.hh.ru/vacancy/94255116?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (начинающий) в офис,ООО Чкаловский,50 000 – 50 000 ₽ на руки,https://perm.hh.ru/vacancy/99547327?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
